year,total,01,02,03,04,05,06,07,08,09,10,11,12
1877,89244,7360,6786,7467,7509,7691,7406,7826,7679,7566,7558,7165,7231
1878,87833,7515,6975,7657,7499,7570,7193,7360,7327,7489,7318,6996,6934
1879,86180,7040,6668,7450,7266,7364,7166,7283,7395,7196,7215,6962,7175
1880,84165,7263,6708,7079,6980,7423,7075,7330,7266,6715,6541,6648,7137
1881,85142,7802,6763,7573,6866,7110,6838,7167,6989,6984,7143,6817,7090
1882,82689,7214,6506,7233,6744,6937,6860,7088,6983,6967,6878,6594,6685
1883,81974,7115,6676,7163,6832,6887,6650,6886,7071,6823,6941,6400,6530
1884,81571,6714,6546,7336,6627,7019,6749,7036,6935,6810,6759,6474,6566
1885,80349,6929,6245,7048,6761,6659,6660,6849,6951,6685,6777,6405,6380
1886,80763,6997,6330,7131,6836,6910,6552,6938,6799,6778,6766,6275,6451
1887,81287,6951,6257,7098,7105,6753,6713,7076,6830,6771,6798,6496,6439
1888,81098,6864,6601,7144,6678,6863,6744,7182,7008,6784,6695,6173,6362
1889,81176,6746,6523,7219,6990,6957,6770,6805,6895,6909,6621,6273,6468
1890,78548,6920,6233,7235,6720,6790,6659,6795,6755,5743,5312,6194,7192
1891,83596,7346,6948,7685,7212,7001,6995,7103,7097,6624,6809,6290,6486
1892,83125,6912,6765,7292,7072,7046,7028,7045,7094,6893,6809,6350,6819
1893,84897,6981,6655,7585,7298,7244,6885,7121,7175,7115,7227,6672,6939
1894,84142,7125,6331,7544,7299,7553,7045,7392,7253,6676,6423,6538,6963
1895,84973,7382,6867,7444,7298,7263,7164,7370,7287,6985,6873,6332,6708
1896,88428,7268,7247,7824,7460,7518,7339,7467,7528,7385,7330,6957,7105
1897,90078,7159,6801,7760,7447,7822,7702,7786,7969,7483,7605,7237,7307
1898,91793,7695,7073,8055,7724,7704,7616,7949,8179,7865,7555,7145,7233
1899,94472,7493,7308,8372,7990,8111,7668,8228,8353,7832,7794,7386,7937
1900,94316,7858,7619,8328,8186,7994,8051,8297,8139,7944,7747,6864,7289
1901,97028,7948,7734,8873,8237,8219,8115,8248,8305,8194,7946,7658,7551
1902,96481,7736,7593,8569,8325,8460,7941,8300,8399,8063,7930,7553,7612
1903,93824,7832,7110,8158,8100,8368,7659,8046,8164,7906,7461,7333,7687
1904,94867,7872,7824,8508,8206,8207,7668,8278,8073,7794,7767,7252,7418
1905,94653,7793,7767,8569,8023,7853,7944,8238,8083,7950,7805,7158,7470
1906,95595,8007,7598,8632,8213,8202,7962,8243,8131,7883,7908,7348,7468
1907,94508,7706,7492,8570,8092,8181,7889,8299,8381,8103,7544,7099,7152
1908,96245,7858,8014,8564,8425,8367,8079,8244,8414,7771,7840,7334,7335
1909,94112,7817,7419,8723,8296,8223,7784,8209,8060,7698,7618,7029,7236
1910,93514,7551,7658,8216,8015,8218,7862,8142,8063,7624,7664,7257,7244
1911,91320,7709,7074,8112,8031,8129,7704,8072,7900,7385,7254,6672,7278
1912,92196,7719,7579,8342,7864,7663,7507,7938,7806,7689,7433,7232,7424
1913,89757,7568,7364,8155,7605,7797,7581,7862,7623,7315,7346,6650,6891
1914,87330,7300,7117,8012,7691,7766,7452,7491,7419,6889,6805,6512,6876
1915,75545,7214,6662,7559,6572,5168,5591,6230,6403,6121,6073,5776,6176
1916,73660,6384,6152,6656,6175,6410,6061,6222,6315,6037,6095,5372,5781
1917,72065,6271,5879,6513,6268,6391,6019,6104,6201,6130,5646,5156,5487
1918,72658,5769,5642,6623,6257,6352,6134,6314,6157,5809,6218,5582,5801
1919,72125,6124,5829,6315,5593,5771,5592,5415,5022,5798,6692,6920,7054
1920,81190,7236,7419,7874,7362,7498,6812,6580,6428,6291,5879,5648,6163
1921,80808,6833,6761,7712,7146,7216,6836,6757,6508,6228,6282,6024,6505
1922,76290,6984,6475,7047,6686,6803,6363,6556,6278,5998,5670,5544,5886
1923,75551,6420,6264,7065,6665,6813,6271,6350,6122,5989,5890,5678,6024
1924,73508,6372,6280,6826,6490,6563,6130,6190,5996,5896,5700,5389,5676
1925,72570,6004,6152,6766,6336,6477,6069,6122,6198,5716,5761,5365,5604
1926,72118,5917,5833,6901,6271,6350,6096,6145,5925,5891,5597,5408,5784
1927,69533,6190,5769,6481,6200,6256,5934,5973,5731,5281,4888,5080,5750
1928,69594,5970,6145,6342,6038,6129,5787,5998,5693,5436,5397,5176,5483
1929,69006,5810,5818,6382,5993,6258,5608,5860,5739,5548,5422,5173,5395
1930,69855,5673,5857,6315,6119,6099,5946,5919,6016,5512,5553,5228,5618
1931,69855,5673,5857,6315,6119,6099,5713,5827,5716,5358,5238,4870,5413
1932,68650,5673,5857,6315,6119,6099,5740,5900,5755,5389,5447,4968,5081
1933,67509,5752,5584,6324,5867,6149,5533,5720,5650,5409,5280,4966,5275
1934,67277,5633,5412,6135,6073,5880,5427,5806,5570,5309,5308,5234,5490
1935,66378,5914,5621,6165,5719,6052,5747,5655,5552,5322,5157,4596,4878
1936,64966,5485,5608,6302,5769,5814,5358,5373,5283,5120,4978,4796,5080
1937,62480,5294,5236,5553,5575,5680,5158,5293,5062,5022,4979,4736,4892
1938,63790,5399,5355,5951,5671,5798,5394,5402,5189,5001,4878,4700,5052
1939,63837,5218,5269,5963,5837,5798,5369,5502,5328,5055,4998,4627,4873
1940,64115,5659,5634,6039,6024,5604,4579,4964,5054,5352,5065,4805,5336
1941,71926,5595,4545,6206,6635,6826,6451,6240,6150,5904,5586,5667,6121
1942,78875,6425,6190,6961,6732,7002,6595,6627,6795,6570,6316,6036,6626
1943,83049,6987,6989,7721,7134,7414,6828,6944,6356,6724,6693,6505,6754
1944,85627,7317,7683,8054,7448,7525,6912,7047,7118,6854,6736,6222,6711
1945,88522,7667,7465,8138,7891,7915,7044,7410,7051,7093,7173,6675,7000
1946,89126,7491,7743,8481,8042,8040,7453,7655,7123,6881,6942,6430,6845
1947,87724,7483,7519,8169,7873,8024,7442,7444,6911,6912,6755,6379,6813
1948,87763,7500,7604,8121,8014,7749,7344,7499,6985,6901,6615,6458,6973
1949,85308,7494,7180,7870,7639,7558,7164,7407,6938,6629,6541,6397,6491
1950,84776,7161,7033,8004,7757,7653,6877,7075,6845,6708,6745,6224,6694
1951,81903,6946,7015,7690,7213,7418,6727,6911,6695,6526,6488,5951,6323
1952,83549,6894,7109,7837,7376,7614,6870,6745,6881,6814,6530,6335,6544
1953,83029,7090,6966,7846,7359,7424,6836,7141,6860,6722,6441,5973,6371
1954,83741,6996,7059,7580,7569,7541,7052,7165,6965,6533,6606,6192,6483
1955,85331,7242,6953,8048,7593,7669,7031,7180,7169,6840,6753,6281,6572
1956,87912,7260,7646,8350,7709,8016,7314,7409,7279,7026,6797,6391,6715
1957,90823,7472,7635,8429,8088,8022,7483,7523,7368,7422,7352,6851,7178
1958,91421,7749,7701,8766,8164,8144,7577,7079,6861,7208,7392,7191,7589
1959,92973,8083,7800,8883,8289,8174,7596,7896,7551,7317,7283,6897,7204
1960,94372,7824,7973,8723,8125,8492,7991,8170,7928,7618,7298,6917,7313
1961,99238,8230,8050,8990,8789,8692,8381,8368,8317,7747,8063,7651,7960
1962,104322,8504,8497,9443,9015,9221,8763,8746,8753,8688,8515,8082,8095
1963,109993,8875,8955,10017,10010,9892,9155,9512,9069,9040,8835,8127,8506
1964,112890,9208,9513,10352,9862,9866,9384,9653,9015,9262,9138,8577,9060
1965,111835,9506,9219,10506,9985,9862,9422,9247,9166,9097,9045,8336,8444
1966,109738,9322,8879,10183,9710,10079,9284,9468,8927,8714,8836,8146,8190
1967,107417,8844,8730,9938,9670,9820,9155,9045,8780,8474,8594,8092,8275
1968,105130,8940,8781,9787,9421,9443,8901,8913,8477,8461,8157,7807,8042
1969,102520,8888,8442,9570,9309,9353,8738,8700,8242,8120,7974,7500,7684
1970,99216,8402,8010,9095,8794,8962,8727,8670,8009,7840,7474,7392,7841
1971,96261,8219,7723,9045,8726,8671,8354,8344,7720,7667,7512,7154,7126
1972,91342,7759,7717,8559,8192,8300,8006,7861,7476,7006,6858,6662,6946
1973,87518,7462,6860,8074,7813,8089,7425,7687,7231,6921,6845,6442,6669
1974,84507,7088,6676,7743,7515,7751,7083,7530,7007,6875,6734,6164,6341
1975,78464,6959,6581,7440,7217,7249,6797,6774,6053,6028,5765,5624,5977
1976,74199,6195,6352,6751,6482,6713,6663,6259,6109,6038,5606,5443,5588
1977,72829,6192,5907,6773,6370,6759,6379,6023,5940,5814,5770,5342,5560
1978,71375,6001,5688,6575,6390,6560,6252,6086,5675,5753,5628,5267,5500
1979,71986,6019,5654,6396,6497,6592,6195,6419,5836,5898,5640,5285,5555
1980,73661,6241,5999,6428,6353,6534,6261,6460,5920,6177,5933,5603,5752
1981,73747,6140,5829,6463,6438,6549,6320,6269,6180,6287,5888,5567,5817
1982,74916,6138,6001,6693,6594,6591,6211,6447,6377,6222,6049,5842,5751
1983,73659,6311,5974,6485,6144,6671,6163,6376,6231,6181,6035,5375,5713
1984,74710,6323,5998,6560,6039,6518,6282,6578,6298,6200,6176,5929,5809
1985,74684,6326,5774,6801,6452,6564,6148,6568,6199,6288,6196,5698,5670
1986,76320,6367,6038,6635,6655,6681,6425,6582,6558,6500,6106,5693,6080
1987,76505,6228,5780,6518,6609,6617,6643,6698,6326,6578,6261,6015,6232
1988,80345,6445,6471,7222,6511,6822,6651,6791,7013,6975,6665,6246,6533
1989,81180,6577,6100,7039,6751,7113,6962,7219,6900,6759,6503,6517,6740
1990,83939,6906,6506,7240,6958,7312,6987,7361,7067,7237,6956,6647,6762
1991,86200,6964,6641,7329,7271,7449,7162,7614,7179,7625,7026,6805,7135
1992,86910,7336,7037,7556,7397,7451,7195,7640,7176,7498,7068,6669,6887
1993,83762,7114,6646,7377,7187,6996,7113,7327,7120,7114,6817,6409,6542
1994,82980,6788,6553,7284,7039,7188,7028,7197,7060,6908,6745,6328,6862
1995,82203,6859,6377,7107,6585,7045,6878,7293,6988,7148,6997,6343,6583
1996,83007,6933,6711,6985,6726,7163,6961,7462,7039,6962,6818,6504,6743
1997,80584,6963,6293,6650,6918,6978,6859,7242,6714,6867,6527,6049,6524
1998,78949,6705,6056,6670,6764,6687,6531,6978,6841,6750,6498,6215,6254
1999,78408,6478,6181,6765,6523,6503,6649,6842,6867,6802,6375,6136,6287
2000,78458,6731,6329,6778,6538,6651,6456,6678,6725,6739,6263,6265,6305
2001,72295,6176,5581,6097,6071,6375,5991,6518,6173,6232,5886,5644,5551
2002,72372,5973,5590,6092,6066,6030,5932,6347,6351,6285,6210,5738,5758
2003,71848,6188,5441,5921,5876,6213,6057,6425,6019,6281,5955,5650,5822
2004,73082,6136,5582,5915,5833,6150,6221,6526,6399,6297,5954,6043,6026
2005,72903,5892,5670,5971,5949,6209,6147,6323,6330,6354,6140,5861,6057
2006,73371,6079,5625,6060,5800,6264,6187,6417,6327,6478,6376,5803,5955
2007,74494,6116,5480,6142,5983,6338,6133,6666,6665,6520,6361,5997,6093
2008,76691,6457,6091,6184,6364,6580,6528,6953,6457,6562,6326,5920,6269
2009,78286,6444,5834,6458,6499,6633,6576,6953,6886,6907,6396,6182,6518
2010,80290,6680,6095,6700,6379,6610,6744,6986,6843,7006,7106,6507,6634
2011,80808,6646,6131,6603,6492,6987,6922,7341,6943,7070,6767,6500,6406
2012,82164,6808,6413,6677,6518,6826,6811,7433,7278,7236,6993,6568,6603
2013,82731,6721,6091,6813,6594,7088,6853,7587,7358,7256,7098,6476,6796
2014,85287,7068,6404,6896,6902,7225,7153,7631,7382,7579,7373,6825,6849
2015,86559,7169,6402,7153,6984,7358,7436,7596,7506,7826,7298,6860,6971
2016,87883,7193,6791,7361,6830,7490,7489,7981,7749,7880,7354,6798,6967
2017,87381,7078,6610,7184,7059,7604,7369,7802,7659,7508,7447,7001,7060
2018,87851,7254,6512,7169,7014,7494,7521,8071,8054,7644,7365,6962,6791
2019,86172,7246,6398,7031,7124,7439,7332,7902,7485,7418,7168,6826,6803
2020,85914,7108,6738,7071,7060,7369,7324,7810,7375,7440,7250,6494,6875
